code,count,sample_files
TS6133,6,"AdminDashboard.tsx,AdminLogin.tsx,LoginTest.tsx,PDFManagement.tsx"
TS2305,2,"AdminLogin.tsx,LoginTest.tsx"
TS2339,15,"AdminLogin.tsx,ChiTietThongBao.tsx,Dashboard.tsx,DemoManagement.tsx,PWATest.tsx,PageThongBao.tsx,ThongTinChiTiet.tsx,TraCuuTNPT.tsx"
TS2345,4,"Dashboard.tsx,DemoManagement.tsx,SimplePWATest.tsx,ThongTinNVT.tsx"
TS2353,2,"ChiTietThongBao.tsx,PageThongBao.tsx"
TS2322,1,"ThongTinChiTiet.tsx"
TS2673,1,"AdminDashboard.tsx"
TS2769,2,"AdminDashboard.tsx"
TS7006,4,"AdminLogin.tsx,LoginTest.tsx"
